address_id,user_id,address_text,is_default
1,1,"5 Đặng Ngõ, Thị xã JaneHuyện, 996508",1
2,2,"4 Phạm Số, JohnHuyện, 686252",1
3,3,"95 Lê Ngõ, Thị xã JohnThành phố, 324875",1
4,3,"9 John Số, Thành phố JohnThị xã, 729402",0
5,4,"35 John Số, JanePhường, 726495",1
6,5,"7 Nguyễn Làng, JohnThành phố, 922041",1
7,6,"2 Jane Làng, Quận JohnHuyện, 917546",1
8,7,"93 John Ngõ, JaneHuyện, 955129",1
9,8,"69 Jane Hẻm, JohnXã, 175902",1
10,8,"848 Dương Số, JohnHuyện, 913274",0
11,8,"0 Trần Khu, Thị xã JohnPhường, 835236",0
12,9,"58 Jane Làng, JohnThị xã, 806423",1
13,10,"827 Đặng Làng, JohnPhường, 816289",1
14,11,"33 Jane Làng, Quận JohnXã, 473321",1
15,12,"179 John Dãy, JaneThị xã, 702427",1
16,13,"846 John Đường, JaneXã, 134144",1
17,14,"2 Trần Dãy, JohnThành phố, 806848",1
18,14,"59 Lê Khu, Huyện JaneXã, 459762",0
19,14,"36 Đặng Số, JaneQuận, 699166",0
20,15,"438 Bùi Làng, Quận JaneThành phố, 285186",1
21,15,"8 Dương Khu, JohnThị xã, 203782",0
22,16,"471 Đặng Khu, JaneXã, 684572",1
23,17,"06 Jane Làng, Huyện JaneHuyện, 805893",1
24,18,"694 Lê Hẻm, JanePhường, 742053",1
25,19,"253 Đặng Khu, JaneHuyện, 566509",1
26,19,"9 Bùi Hẻm, Thành phố JohnPhường, 346024",0
27,20,"261 John Dãy, Thành phố JaneXã, 902156",1
28,21,"Huyện JohnThành phố, 33 Dương Hẻm, 237654",1
29,22,"055 Dương Khu, JohnPhường, 665484",1
30,23,"9 Mai Khu, JaneXã, 338161",1
31,23,"56 Lê Khu, Thành phố JohnHuyện, 400692",0
32,23,"7 Vũ Đường, JaneXã, 342446",0
33,24,"686 Phạm Hẻm, JaneQuận, 375754",1
34,25,"9 Vũ Khu, JohnThành phố, 291267",1
35,26,"7 Vũ Dãy, Huyện JohnQuận, 152042",1
36,27,"Quận JohnHuyện, 703 John Đường, 617555",1
37,28,"75 Nguyễn Tổ, Quận JohnHuyện, 913331",1
38,28,"346 John Làng, JaneQuận, 873449",0
39,29,"Thị xã JohnXã, 64 Lê Đường, 880900",1
40,29,"74 Jane Đường, Thành phố JohnPhường, 555251",0
41,30,"91 Phạm Đường, Thị xã JohnHuyện, 908239",1
42,31,"19 Nguyễn Đường, JohnPhường, 662407",1
43,32,"35 Dương Làng, Thị xã JanePhường, 241276",1
44,33,"78 Mai Dãy, Quận JaneHuyện, 867979",1
45,34,"827 Vũ Tổ, JohnPhường, 630535",1
46,35,"959 Jane Ngõ, JohnXã, 816412",1
47,36,"4 Bùi Tổ, Thành phố JohnThành phố, 975763",1
48,36,"317 John Đường, JaneXã, 754280",0
49,37,"539 John Làng, JohnThị xã, 939930",1
50,37,"6 Nguyễn Khu, Thành phố JaneThành phố, 326387",0
51,38,"386 John Làng, Thị xã JohnPhường, 704570",1
52,39,"6 John Hẻm, JanePhường, 265860",1
53,39,"58 Đặng Số, JaneXã, 352415",0
54,39,"84 Dương Dãy, JohnPhường, 136346",0
55,40,"Quận JaneThành phố, 350 Mai Hẻm, 198867",1
56,40,"245 John Khu, JohnXã, 519218",0
57,41,"1 Dương Hẻm, JohnXã, 773452",1
58,42,"055 Bùi Ngõ, Thành phố JaneThành phố, 419588",1
59,43,"9 Jane Làng, Thành phố JaneThị xã, 889410",1
60,43,"646 John Tổ, Thị xã JohnXã, 518582",0
61,44,"6 John Dãy, Thị xã JanePhường, 699083",1
62,45,"146 Hoàng Ngõ, Thị xã JaneHuyện, 465227",1
63,46,"0 Lê Tổ, JohnThị xã, 147057",1
64,47,"521 John Làng, Huyện JohnHuyện, 827497",1
65,48,"70 Phạm Làng, Huyện JaneXã, 865380",1
66,48,"Thị xã JohnHuyện, 439 Nguyễn Dãy, 786563",0
67,49,"45 John Khu, JohnThị xã, 633243",1
68,50,"Huyện JaneXã, 387 John Làng, 655132",1
69,50,"20 Đặng Tổ, JohnXã, 389279",0
70,50,"08 Phạm Hẻm, JanePhường, 243928",0
71,51,"9 Jane Làng, Thị xã JaneXã, 445280",1
72,52,"298 John Khu, Thị xã JohnPhường, 692282",1
73,52,"881 Jane Hẻm, Huyện JaneThị xã, 418083",0
74,53,"312 John Khu, Quận JohnPhường, 127351",1
75,54,"897 Lê Số, JaneQuận, 271742",1
76,55,"04 Phạm Làng, Thành phố JohnThị xã, 747033",1
77,56,"36 Nguyễn Số, JaneXã, 878533",1
78,56,"1 Dương Đường, Thị xã JohnXã, 506216",0
79,56,"476 Vũ Dãy, Thị xã JaneXã, 157196",0
80,57,"71 John Hẻm, JaneHuyện, 572788",1
81,58,"3 Trần Khu, JohnPhường, 868881",1
82,58,"7 Trần Số, Thị xã JaneThành phố, 905579",0
83,59,"2 John Hẻm, Thị xã JaneHuyện, 865630",1
84,60,"21 John Đường, JohnThị xã, 621800",1
85,61,"7 John Dãy, JaneThị xã, 183262",1
86,62,"849 John Hẻm, Thành phố JaneThành phố, 252436",1
87,63,"10 Jane Hẻm, Huyện JohnThị xã, 885734",1
88,64,"455 Trần Số, Huyện JaneQuận, 227950",1
89,64,"86 John Đường, Thành phố JanePhường, 822106",0
90,65,"95 Mai Tổ, Thị xã JaneThị xã, 947228",1
91,66,"4 John Ngõ, Thị xã JohnPhường, 989265",1
92,67,"05 Mai Làng, Quận JaneHuyện, 928580",1
93,68,"8 Nguyễn Ngõ, JaneThị xã, 859584",1
94,69,"355 Dương Đường, Thị xã JohnPhường, 582992",1
95,70,"60 Hoàng Tổ, Quận JaneHuyện, 169429",1
96,70,"JohnHuyện, 8 Jane Hẻm, 724103",0
97,71,"5 Jane Số, Thị xã JohnHuyện, 573858",1
98,72,"842 Jane Đường, Thành phố JaneXã, 126146",1
99,73,"578 Đặng Hẻm, Quận JohnPhường, 138328",1
100,74,"409 Jane Dãy, Thành phố JaneThành phố, 705615",1
101,75,"33 Vũ Tổ, JohnHuyện, 256574",1
102,76,"988 John Tổ, JaneQuận, 838568",1
103,77,"149 Mai Dãy, Quận JohnThị xã, 808308",1
104,78,"166 Jane Tổ, JaneQuận, 847528",1
105,79,"92 Jane Ngõ, JanePhường, 775721",1
106,80,"33 Jane Tổ, JohnPhường, 797492",1
107,81,"70 Jane Ngõ, JaneThị xã, 986850",1
108,82,"9 John Số, Huyện JohnHuyện, 658624",1
109,83,"938 Jane Số, Huyện JohnPhường, 719677",1
110,84,"5 John Ngõ, JohnXã, 725030",1
111,85,"24 Trần Ngõ, JaneThị xã, 776320",1
112,85,"290 John Dãy, JaneXã, 706005",0
113,85,"5 Hoàng Khu, JaneThành phố, 711033",0
114,86,"405 John Tổ, Huyện JohnQuận, 552686",1
115,87,"5 Bùi Số, JohnPhường, 281833",1
116,88,"6 Bùi Hẻm, JohnQuận, 112166",1
117,89,"762 John Số, JaneXã, 288531",1
118,90,"7 Đặng Làng, Thị xã JohnXã, 622355",1
119,91,"8 Bùi Tổ, Thành phố JanePhường, 486482",1
120,91,"1 Jane Dãy, Thành phố JohnThị xã, 761297",0
121,92,"8 Hoàng Đường, JohnThị xã, 576089",1
122,92,"5 Đặng Khu, JohnThành phố, 828813",0
123,93,"9 Nguyễn Dãy, Thành phố JanePhường, 754643",1
