user_id,name,phone,email,password_hash,role,created_at
1,An Vũ,0369784801,johnle@example.net,617aad113a89628cc66ac3c126b5204d7f8ed92bd29f0bf74de1c21f69a20358,customer,2026-06-04 17:00:07
2,Hải Mai,0169847896,hoangjane@example.org,464ad264be8ca179dbf759699c5eec1fd9d135aeb6f4c71cae761ab6e0a2e652,customer,2026-06-04 17:00:07
3,Hương Phạm,0133942104,johnmai@example.org,4c6b0faf5405fce2684556d1e6893dc4247b8dbcab4d3b261dd1646379a222e5,customer,2026-06-04 17:00:07
4,Lâm Mai Hoàng,0104556238,john26@example.com,f967e25269db8a265fc003c2885c9dafeda065f2dbd9d1a7114b3b70900bde3f,customer,2026-06-04 17:00:07
5,Hoàng Phạm,0137556464,john16@example.org,7ce20d1095d1ebd2c4aa8ae1e21ee1f3d0b505e4cde7ec01c92fe66e392fcaec,customer,2026-06-04 17:00:07
6,Quang Đức Nguyễn,0869594406,hmai@example.com,cc30685a846b032fbfce92a5523b8fe3197c93869af6b11a710b64c1089b80b3,customer,2026-06-04 17:00:07
7,Phương Vũ,0913361386,john10@example.net,5ff12dcffbe803826cbd0d18edfda484501451aa706c0fe5c927810ab866e805,customer,2026-06-04 17:00:07
8,Bà Hương Phạm,0391769367,buijane@example.com,cd4990513f46f4b8e0a8e4e0652c5cb4dd0e76ea06e9c52386638695ac36ca2d,customer,2026-06-04 17:00:07
9,Phúc Phú Đặng,0843292127,janetran@example.net,2cff045602192bc903398e45103a422054dd1d54e1585c6d53a1769334236fc9,customer,2026-06-04 17:00:07
10,Chị Bảo Dương,0969340608,ovu@example.net,0e3a193a8c0adcf8e78bef5e47a4ccdb320106f3f110f2e048339e558acb1a16,customer,2026-06-04 17:00:07
11,Bà Ánh Nguyễn,0918367365,johndang@example.com,68850b85da79af69d90c7e1b9abe0327874ba2f1a4934574728b4f0cd2a291c6,customer,2026-06-04 17:00:07
12,Vũ Phạm,0354235116,john76@example.net,baf79fe5b17362b451a0bfebeb87f8e320f6af0e50737415af1e03ed3582c716,customer,2026-06-04 17:00:07
13,Anh Anh Lê,0167737826,janehoang@example.com,14ddb628833234cf1da9d00c5f620e82df6ec33ac73d10b27400be692e470b04,admin,2026-06-04 17:00:07
14,Thành Hải Lê,0124140602,wtran@example.org,2f8096acef067e6e98cf210fe5b5aed66a95b2b6b80d64f737c0091275ed38aa,customer,2026-06-04 17:00:07
15,Bảo Lê,0982992299,ehoang@example.com,73b965c212c1a792a266787134916a53911e94067800eacbe8d454a0db80ef1c,customer,2026-06-04 17:00:07
16,Khoa Mai Mai,0827648350,john18@example.com,b8d6a39d51515537e8c594096c8667b6831e9ce35db6885f48d5850f8f008076,customer,2026-06-04 17:00:07
17,Tú Thế Bùi,0362676586,janenguyen@example.net,c206005c78a945adc700da374497276d743d2b879d8f492958426499d169b4d7,customer,2026-06-04 17:00:07
18,Minh Lê,0994311426,vujohn@example.org,0339773e245cfc3bf5f2958e866e4d76dafdf01044049257555e686a02b7784a,customer,2026-06-04 17:00:07
19,Phúc Văn Hoàng,0131329121,jane01@example.com,df1dc4c01944657ee60327fb38fd0b0a22c1d2ed6b344e0fae0b7b67dc5a5a3e,customer,2026-06-04 17:00:07
20,Quang Nguyễn,0830365414,johntran@example.net,b5eae7aaa84a91f23f83061d557f4aff869d443929c509e73c184659dc80bf0f,customer,2026-06-04 17:00:07
21,Ông Tùng Lê,0367010651,janemai@example.org,cfb53e476e6648634f36f3cbeb6d8618bfe437666ed44a536cc78276da2fd103,customer,2026-06-04 17:00:07
22,Minh Hoàng,0368516122,ipham@example.net,6c43929069d77de493038c6c4a765e20408069dbfaf5d6f2ddda64aa81ad8ed5,customer,2026-06-04 17:00:07
